title,UMAP1,UMAP2
Comparative Protein Structure Modeling Using MODELLER,10.452353,4.091661
Comparative Protein Structure Modeling Using MODELLER,10.478783,4.0799513
"The complete genome sequence of the hyperthermophilic, sulphate-reducing archaeon Archaeoglobus fulgidus",3.4452548,8.049113
"Bacterial Standing Stock, Activity, and Carbon Production during Formation and Growth of Sea Ice in the Weddell Sea, Antarctica",-0.0344108,6.879889
Distribution of diverse nitrogen fixers in the global ocean,-2.4006436,6.3904233
Archaeal Means and Extremes,1.200877,7.5775933
"Microbes, Molecules, and Marine Ecosystems",4.1378717,6.5873814
Specificity in Deoxyribonucleic Acid Uptake by Transformable Haemophilus influenzae,5.451877,0.5657395
A marine microbial consortium apparently mediating anaerobic oxidation of methane,-0.6663628,5.487771
"Residual guanosine 3', 5'-bispyrophosphate synthetic activity of relA null mutants can be eliminated by spoT null mutations.",7.1337333,2.3037248
ClustVis: a web tool for visualizing clustering of multivariate data using Principal Component Analysis and heatmap,9.488999,9.16494
Nitrogen fixation by Trichodesmium spp.: An important source of new nitrogen to the tropical and subtropical North Atlantic Ocean,-2.776426,6.37669
The complete genome of the hyperthermophilic bacterium Aquifex aeolicus,0.52843624,4.913708
The hydrogen hypothesis for the first eukaryote,3.7697742,5.117504
RETRACTED ARTICLE: TREEFINDER: a powerful graphical analysis environment for molecular phylogenetics,9.966317,8.206641
A Whole-Genome Assembly of Drosophila,7.935351,10.139592
Molecular evidence for an ancient duplication of the entire yeast genome,6.6655374,2.180807
dnaA protein-regulated transcription: effects on the in vitro replication of Escherichia coli minichromosomes.,6.7275696,1.3099442
"Application of the novel nucleic acid dyes YOYO-1, YO-PRO-1, and PicoGreen for flow cytometric analysis of marine prokaryotes",3.2747712,10.925718
An algorithm for progressive multiple alignment of sequences with insertions,8.7147255,9.437467
"Identification, characterization, and mapping of the Escherichia coli htrA gene, whose product is essential for bacterial growth only at elevated temperatures",6.970589,1.6569353
Isolation and characterization of Escherichia coli mutants that lack the heat shock sigma factor sigma 32,7.324463,1.7257911
Spatial and temporal distribution of Trichodesmium blooms in the world's oceans,-2.3154666,6.696552
A family of cytokine-inducible inhibitors of signalling,5.9321594,0.75191677
Evidence for lateral gene transfer between Archaea and Bacteria from genome sequence of Thermotoga maritima,3.3124979,8.248289
New frontiers in probiotic research,5.6293015,3.784937
Sequence heterogeneities of genes encoding 16S rRNAs in Paenibacillus polymyxa detected by temperature gradient gel electrophoresis,2.3892727,8.771733
Novel genes for nitrite reductase and Amo‐related proteins indicate a role of uncultivated mesophilic crenarchaeota in nitrogen cycling,3.352881,8.7733555
The reduced genomes of Parcubacteria (OD1) contain signatures of a symbiotic lifestyle,2.400642,3.9983487
"Nitrogen fixation in the western equatorial Pacific: Rates, diazotrophic cyanobacterial size class distribution, and biogeochemical significance",-2.4994931,6.3688045
Early life dynamics of the human gut virome and bacterial microbiome in infants,-0.6504746,10.305959
Initial sequence of the chimpanzee genome and comparison with the human genome,3.2491703,3.762093
Physical forcing of nitrogen fixation and diazotroph community structure in the North Pacific subtropical gyre,-2.5311422,6.533168
γ‐Glutamyl Phosphate Attached to Glutamine‐Specific tRNA,6.235819,1.6146462
Experimental assessment of diazotroph responses to elevated seawater p CO 2 in the North Pacific Subtropical Gyre,-2.6239767,6.6402054
